"Datum","Datum Jahr","Datum Monat","Monat","Datum Tag","Datum Monat Tag","Hotelkategorie","Anzahl Ankünfte","Anzahl Logiernächte","Anzahl verfügbare Zimmer","Anzahl belegte Zimmer","Zimmerauslastung"
2023-01-01,2023,"Januar",1,1,"01-01","1- und 2-Stern",144,329,530,178,33.5849056603774
2023-01-01,2023,"Januar",1,1,"01-01","3-Stern",365,713,1127,405,35.9361135758651
2023-01-01,2023,"Januar",1,1,"01-01","4- und 5-Stern",565,1277,2007,689,34.3298455406079
2023-01-01,2023,"Januar",1,1,"01-01","Keine Kategorie",105,264,541,138,25.5083179297597
2023-01-01,2023,"Januar",1,1,"01-01","Total",1179,2583,4205,1410,33.5315101070155
2023-01-02,2023,"Januar",1,2,"01-02","1- und 2-Stern",182,299,530,164,30.9433962264151
2023-01-02,2023,"Januar",1,2,"01-02","3-Stern",376,654,1216,392,32.2368421052632
2023-01-02,2023,"Januar",1,2,"01-02","4- und 5-Stern",582,1031,2047,522,25.5007327796776
2023-01-02,2023,"Januar",1,2,"01-02","Keine Kategorie",160,240,541,123,22.735674676525
2023-01-02,2023,"Januar",1,2,"01-02","Total",1300,2224,4334,1201,27.7111213659437
2023-01-03,2023,"Januar",1,3,"01-03","1- und 2-Stern",183,270,539,161,29.8701298701299
2023-01-03,2023,"Januar",1,3,"01-03","3-Stern",413,658,1240,417,33.6290322580645
2023-01-03,2023,"Januar",1,3,"01-03","4- und 5-Stern",573,1029,2047,532,25.9892525647289
2023-01-03,2023,"Januar",1,3,"01-03","Keine Kategorie",174,268,541,140,25.8780036968577
2023-01-03,2023,"Januar",1,3,"01-03","Total",1343,2225,4367,1250,28.6237691779254
2023-01-04,2023,"Januar",1,4,"01-04","1- und 2-Stern",177,273,539,160,29.6846011131725
2023-01-04,2023,"Januar",1,4,"01-04","3-Stern",364,677,1240,458,36.9354838709677
2023-01-04,2023,"Januar",1,4,"01-04","4- und 5-Stern",512,930,2047,523,25.5495847581827
2023-01-04,2023,"Januar",1,4,"01-04","Keine Kategorie",187,288,541,148,27.3567467652495
2023-01-04,2023,"Januar",1,4,"01-04","Total",1240,2168,4367,1289,29.5168307762766
2023-01-05,2023,"Januar",1,5,"01-05","1- und 2-Stern",153,260,539,162,30.0556586270872
2023-01-05,2023,"Januar",1,5,"01-05","3-Stern",299,552,1240,384,30.9677419354839
2023-01-05,2023,"Januar",1,5,"01-05","4- und 5-Stern",488,863,2047,469,22.9115779189057
2023-01-05,2023,"Januar",1,5,"01-05","Keine Kategorie",177,280,541,145,26.8022181146026
2023-01-05,2023,"Januar",1,5,"01-05","Total",1117,1955,4367,1160,26.5628577971147
2023-01-06,2023,"Januar",1,6,"01-06","1- und 2-Stern",177,291,539,159,29.4990723562152
2023-01-06,2023,"Januar",1,6,"01-06","3-Stern",360,593,1240,394,31.7741935483871
2023-01-06,2023,"Januar",1,6,"01-06","4- und 5-Stern",675,980,2047,501,24.4748412310699
2023-01-06,2023,"Januar",1,6,"01-06","Keine Kategorie",195,317,541,170,31.4232902033272
2023-01-06,2023,"Januar",1,6,"01-06","Total",1407,2181,4367,1224,28.0283947790245
2023-01-07,2023,"Januar",1,7,"01-07","1- und 2-Stern",142,226,539,148,27.4582560296846
2023-01-07,2023,"Januar",1,7,"01-07","3-Stern",334,609,1240,402,32.4193548387097
2023-01-07,2023,"Januar",1,7,"01-07","4- und 5-Stern",629,1046,2047,569,27.7967757694187
2023-01-07,2023,"Januar",1,7,"01-07","Keine Kategorie",154,261,541,144,26.6173752310536
2023-01-07,2023,"Januar",1,7,"01-07","Total",1259,2142,4367,1263,28.9214563773758
2023-01-08,2023,"Januar",1,8,"01-08","1- und 2-Stern",74,105,539,81,15.0278293135436
2023-01-08,2023,"Januar",1,8,"01-08","3-Stern",277,458,1351,398,29.459659511473
2023-01-08,2023,"Januar",1,8,"01-08","4- und 5-Stern",491,793,2047,485,23.6932095749878
2023-01-08,2023,"Januar",1,8,"01-08","Keine Kategorie",58,99,541,76,14.0480591497227
2023-01-08,2023,"Januar",1,8,"01-08","Total",900,1455,4478,1040,23.2246538633318
2023-01-09,2023,"Januar",1,9,"01-09","1- und 2-Stern",143,171,539,140,25.974025974026
2023-01-09,2023,"Januar",1,9,"01-09","3-Stern",414,705,1498,639,42.6568758344459
2023-01-09,2023,"Januar",1,9,"01-09","4- und 5-Stern",648,1037,2127,801,37.6586741889986
2023-01-09,2023,"Januar",1,9,"01-09","Keine Kategorie",127,173,561,131,23.3511586452763
2023-01-09,2023,"Januar",1,9,"01-09","Total",1332,2086,4725,1711,36.2116402116402
2023-01-10,2023,"Januar",1,10,"01-10","1- und 2-Stern",147,230,539,170,31.5398886827458
2023-01-10,2023,"Januar",1,10,"01-10","3-Stern",282,742,1498,696,46.4619492656876
